name,lat,lon,elev_m
ABBY,49.072141046,-122.197802579,195.2803939
ABOT,49.029436497,-122.266569808,-4.0091647
AGNS,42.55276485,-124.059113708,51.3683661
AL2H,48.389780311,-123.487471726,31.7503964
ALB4,48.389739572,-123.487687455,30.8906367
ALBH,48.389781422,-123.487470112,31.7682625
ALDR,39.654674371,-122.716118036,1362.943019
ARLI,48.174067086,-122.141859552,23.2862091
ASBU,43.82056507,-121.368506504,1508.8651969
ASHL,42.180690735,-122.670169066,608.7265364
BAMF,48.835329253,-125.135104681,10.7466224
BBAY,48.899077027,-122.769470373,-8.2125175
BCAB,49.052173767,-122.329538238,72.7033674
BCBU,49.251391241,-123.000194127,13.0048882
BCCH,49.14657981,-122.002575492,-0.4647045
BCCO,49.689621965,-125.000777096,11.505068
BCCQ,49.278590918,-122.791120322,14.1472795
BCCR,50.024402417,-125.243965425,-0.6435613
BCCY,49.700070964,-124.983690046,-0.9364562
BCDN,48.777115443,-123.685425944,-4.4846586
BCDT,49.032204182,-123.069251229,-7.4407816
BCES,48.429263274,-123.428708746,21.1492085
BCHO,49.378679823,-121.440679267,33.4268012
BCLC,49.103818832,-122.657374447,3.6394913
BCLG,48.442929276,-123.522605681,60.5028453
BCLI,49.115116798,-123.147133716,-4.9187048
BCMR,49.221155426,-122.538536069,73.4952822
BCNN,49.183930185,-123.953245074,44.4584099
BCNS,48.648497088,-123.45099439,3.6470122
BCOV,50.544281094,-126.842642383,37.3201896
BCPH,50.685563288,-127.375351894,1.3502759
BCPM,50.57054704,-127.028441558,50.2137137
BCSC,49.472228362,-123.763077966,6.1581237
BCSF,49.192086774,-122.860086739,83.4640522
BCSK,48.377860648,-123.725586431,35.6757046
BCSM,48.559486874,-123.799529645,932.687984
BCSQ,49.699211167,-123.154021767,-5.910379
BCTS,49.006042863,-123.082771295,46.9367748
BCUT,40.828498572,-124.082613098,-19.60935
BCVC,49.275764217,-123.08934566,11.1812467
BCVI,48.480710873,-123.391567814,15.1433341
BCVT,48.441255305,-123.372070397,0.7933793
BCWS,50.131309024,-122.954620921,639.1044227
BELI,48.755268613,-122.478972536,10.6557231
BEND,44.057158802,-121.315186318,1095.8507321
BFIR,47.617421728,-122.12549899,121.6831727
BILS,47.539344489,-124.252526591,38.3527087
BLNP,44.245787259,-121.849796907,1521.7689936
BLVU,47.599206791,-122.183214772,-8.2898841
BLY1,42.406844845,-121.049065135,1313.4288037
BLYN,48.016057607,-122.927540217,613.349308
BNDM,44.089394531,-121.307539282,1070.3104232
BPEB,50.156701639,-127.771748133,710.9093868
BRN3,49.269892337,-123.015578633,32.5817899
BRNB,49.275055522,-123.021820955,23.1199563
BRSP,45.40155314,-121.708505973,2061.2819366
BSUM,47.554243424,-122.132300467,336.2981138
BTON,45.485806564,-122.797395021,46.7604861
C046,48.990597247,-125.458857388,156.5570359
CA1R,40.162609141,-122.235401648,71.1358298
